name,price,images,category,source_url,description
ارز بسمتي حمودة العجاوي 5 كغم,30.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110130-unnamed%20(19).jpg?generation=1768743734187440&alt=media,عروض,https://biddimarket.ps/orders/category/أرز/product/110130,
بندورة توماديني حبة كاملة ومقشرة 400غم,3.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110244-39398488-83f6-47f8-bd4d-05c17fda5183.png?generation=1783866066986403&alt=media,عروض,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110244,
مشروم مقطع ابو غربية 400 غم ( 3 ب10),3.33,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110364-aa58c64e-05e7-4930-a001-133fc64e288c.png?generation=1783866260420697&alt=media,عروض,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110364,
مخلل خيار بالملح لزيزة 18_25,6.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110473-93f20773-9d3d-40fb-b69e-ebae59374dec.png?generation=1783870695507495&alt=media,عروض,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110473,
سلطة زيتون شرائح درة 675غم,13.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110489-0876eda6-4d39-4f21-8e93-baa38804a00f.png?generation=1768932208490185&alt=media,عروض,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110489,
فطر مقطع بوادي 400غم,2.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110499-ff5154ec-981b-4d0e-9808-015117b236e5.png?generation=1770049517030269&alt=media,عروض,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110499,
حمص حب بوادي 400غم,2.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110500-80601d99-1515-43dc-94a5-459146766fdd.png?generation=1770049466872830&alt=media,عروض,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110500,
فاصولياء بيضاء بوادي 400غم,2.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110501-c2dfa7ef-4a08-43d7-bc78-6c628b9bc70e.png?generation=1770049133568286&alt=media,عروض,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110501,
بازيلاء البوادي 400غم,2.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110502-57d97479-52a2-41df-8410-7bc59412b899.png?generation=1770049305298536&alt=media,عروض,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110502,
صلصة بندورة جولدن شيف 580غم,5.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110505-8f9dcf8c-7add-4fb2-a312-5ba1698d2026.png?generation=1770128720809494&alt=media,عروض,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110505,
فطر مقطع جرين جاردين 400غم( 3 ب 10),3.33,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110510-10b7ca0b-8a6e-4b6a-87f4-2020614855f2.png?generation=1785849511832428&alt=media,عروض,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110510,
فول علب سليمة 400غم (7 ب10),1.43,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/110512-65ed1e30-c0a9-4d94-a447-f39160e51772.png?generation=1785774570745317&alt=media,عروض,https://biddimarket.ps/orders/category/معلبات-مشكلة-ومخللات/product/110512,
معكرونة مجدولة ايطاليانو 400غم,2.50,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1290112-0f096403-5f88-4cf4-aa71-d54981ea2dc1.png?generation=1785944292509141&alt=media,عروض,https://biddimarket.ps/orders/category/معكرونة/product/1290112,
معكرونة عود ايطاليانو 400غم,2.50,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1290113-c915e959-382f-4746-bd8b-8e033b7f793e.png?generation=1785944864038398&alt=media,عروض,https://biddimarket.ps/orders/category/معكرونة/product/1290113,
معكرونة اشكال وشعيرية الطاحونة 200غم (10ب10),1.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1290117-4c6c61d1-0403-4c0e-adca-6d6a0e4b07a3.png?generation=1769879160253714&alt=media,عروض,https://biddimarket.ps/orders/category/معكرونة/product/1290117,
معكرونة فوتتشيني اربيلا 400غم,5.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1290134-bf92699c-f2bf-4956-b3db-0253541d4efd.png?generation=1770731258241979&alt=media,عروض,https://biddimarket.ps/orders/category/معكرونة/product/1290134,
شيبس مستر بوتيتو اصابع شطة وليمون 80غم,3.33,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1430159-ccee28d3-2187-4c95-bb34-7fb4b7b63b7e.png?generation=1780321700101850&alt=media,عروض,https://biddimarket.ps/orders/category/بطاطا-وبيسلي-مشكل/product/1430159,
رقائق بطاطا بالخل والملح شيبسو 40غم,2.50,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1430162-f1b1cd7a-5a8b-4392-aa16-1c55562dd238.png?generation=1785782536069173&alt=media,عروض,https://biddimarket.ps/orders/category/بطاطا-وبيسلي-مشكل/product/1430162,
معكرونة صدف ابو تاج 400 غم,2.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1290082-9b6c3e7a-59db-49a6-ba91-20151e66209c.png?generation=1783871517696200&alt=media,عروض,https://biddimarket.ps/orders/category/معكرونة/product/1290082,
معكرونة بسلي ايطاليانو 400غم,2.50,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1290107-2419ed08-665e-4095-b24e-8ddfba1b53ff.png?generation=1785944747142828&alt=media,عروض,https://biddimarket.ps/orders/category/معكرونة/product/1290107,
شعيرية ايطاليانو 400غم,2.50,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1290109-7415a637-3efe-4345-b1bb-069a42d9f50a.png?generation=1768931243166098&alt=media,عروض,https://biddimarket.ps/orders/category/معكرونة/product/1290109,
متة سورية الاصلية 250غم,9.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/670173-7beeb232-01c6-4264-ba4b-e41505c7ed85.png?generation=1785776462721604&alt=media,عروض,https://biddimarket.ps/orders/category/قهوة-شاي-نسكافية/product/670173,
شاي سليمة 100 كيس 200غم,6.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/670197-57a1508c-fd90-49c4-9341-ca16b79d2a04.png?generation=1783871853206950&alt=media,عروض,https://biddimarket.ps/orders/category/قهوة-شاي-نسكافية/product/670197,
حمص حب النصر 1 كيلو,6.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/690047-0abe929e-114e-462d-9b3a-d835a664e748.png?generation=1783868066455585&alt=media,عروض,https://biddimarket.ps/orders/category/حبوب-وبقوليات/product/690047,
برغل ناعم النصر 1 كيلو,3.33,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/690050-73144cc9-d6eb-4990-bb37-e947f7393b4f.png?generation=1783872254106075&alt=media,عروض,https://biddimarket.ps/orders/category/حبوب-وبقوليات/product/690050,
ارز بسمتي الموسم 1 كغم,7.50,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/700043-unnamed%20(24).jpg?generation=1768744572782656&alt=media,عروض,https://biddimarket.ps/orders/category/أرز/product/700043,
ارز حمودة العجاوي حبة قصيرة 5 كيلو,30.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/700044-unnamed%20(45).jpg?generation=1768745478587968&alt=media,عروض,https://biddimarket.ps/orders/category/أرز/product/700044,
ارز بسمتي لمرضى السكري ليتل انديا 5 كيلو,35.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/700051-d4494620-d59a-4620-814b-d522b604213b.png?generation=1768487260516907&alt=media,عروض,https://biddimarket.ps/orders/category/أرز/product/700051,
رز تايجر متوسط الحبة 1 كيلو,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/700058-ee26419e-10b4-434a-84de-359a69424524.png?generation=1783559034793190&alt=media,عروض,https://biddimarket.ps/orders/category/أرز/product/700058,
عصير ليمون مركز ابو تاج 1لتر,3.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/720125-bccd6bfb-8a17-41b5-a290-ed40761320a9.png?generation=1785775190515332&alt=media,عروض,https://biddimarket.ps/orders/category/شوربات-وصوصات/product/720125,
بيتي بير بالحليب اوليوم 500غم(3 ب10),3.33,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/630056-51314bf1-898a-4a79-aed8-875f86097f79.png?generation=1785265385042210&alt=media,عروض,https://biddimarket.ps/orders/category/بسكويت/product/630056,
بيتي بير كاكاو دادس 300غم,2.50,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/630058-8a885bdd-9ce6-4cfa-b8f1-0b6d4a262c99.png?generation=1769533932896969&alt=media,عروض,https://biddimarket.ps/orders/category/بسكويت/product/630058,
بيتي بير بالحليب فينجر 400غم,2.50,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/630059-e0a5b99f-803e-4db4-a474-4c3e452180e9.png?generation=1769537882995988&alt=media,عروض,https://biddimarket.ps/orders/category/بسكويت/product/630059,
مسحوق غسيل ايريال تركي 3 كيلو,25.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/380061-b5a4dbec-c22e-4d2f-8bcb-2e39844e1ea0.png?generation=1785348798876654&alt=media,عروض,https://biddimarket.ps/orders/category/مسحوق-وسائل-غسيل/product/380061,
شامبو جلنت للشعر 2 لتر اخضر,12.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/430007-3a097633-befa-459f-83a1-b3128e1a75b3.png?generation=1785593108083927&alt=media,عروض,https://biddimarket.ps/orders/category/شامبو-شعر/product/430007,
شامبو جلنت للشعر زهري 2 لتر,12.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/430023-f021306f-5c0e-48aa-a66a-29834b12dca8.png?generation=1785593395200913&alt=media,عروض,https://biddimarket.ps/orders/category/شامبو-شعر/product/430023,
شامبو جلنت للشعر اصفر 2لتر,12.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/430028-4c324c2f-5b38-483d-8e97-50caad5c0e89.png?generation=1785593490936687&alt=media,عروض,https://biddimarket.ps/orders/category/شامبو-شعر/product/430028,
علبة مماسح 30*30 الكرم 25 قطعة,15.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/350021-e3dbc7e3-682c-4ea0-9b88-a8ab53c5827c.png?generation=1786206467089484&alt=media,عروض,https://biddimarket.ps/orders/category/مماسح/product/350021,
مماسح ارضيات الكرم,3.33,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/350022-e2c52a92-6c61-4690-8298-3496406c7c0c.png?generation=1785480847544438&alt=media,عروض,https://biddimarket.ps/orders/category/مماسح/product/350022,
فوط غبرة الكرم 3 قطع,3.33,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/350023-7e3fae53-1c9a-45eb-807a-3623c3e4c477.png?generation=1785480950823011&alt=media,عروض,https://biddimarket.ps/orders/category/مماسح/product/350023,
مماسح سيارات الكرم 3 قطع,3.33,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/350024-81dcf2f8-8280-40c4-a415-c79a66316d65.png?generation=1785481079190278&alt=media,عروض,https://biddimarket.ps/orders/category/مماسح/product/350024,
منظف اسطح لويال احمر 800 مل,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/370028-a29f6efa-6ae2-4869-a08f-a1d02e348683.png?generation=1785337545869719&alt=media,عروض,https://biddimarket.ps/orders/category/منظف-اسطح/product/370028,
منظف اسطح لويال اصفر 800 مل,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/370029-8a7e9629-5f85-4a8f-9866-cce4bd98174d.png?generation=1785337689878246&alt=media,عروض,https://biddimarket.ps/orders/category/منظف-اسطح/product/370029,
منظف اسطح لويال برتقالي 800مل,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/370030-c842bf59-e9ad-4733-ade2-513ea4e1a9e4.png?generation=1785337804957042&alt=media,عروض,https://biddimarket.ps/orders/category/منظف-اسطح/product/370030,
منظف اسطح لويال اخضر 800مل,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/370034-6b40a851-b626-4db9-84ad-00378ad70d14.png?generation=1785338048792996&alt=media,عروض,https://biddimarket.ps/orders/category/منظف-اسطح/product/370034,
مزيل دهون شامل برائحة اللافندر كليمانس 750مل,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/370043-d14bed26-cfa5-42a4-a492-8dc9e99c37ba.png?generation=1785338631239181&alt=media,عروض,https://biddimarket.ps/orders/category/منظف-اسطح/product/370043,
محارم معطرة ديلوكس 8 بكيتات مني,4.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/830023-92e8888e-f8fa-41ee-b99e-9afa4f35773e.png?generation=1785078212197588&alt=media,عروض,https://biddimarket.ps/orders/category/محارم-معطرة/product/830023,
عرض كبسولات كوانتم 40حبة مع زيت ملمع سمارت,25.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/920040-de12407e-2084-4523-bfe6-2cb4cd099d25.png?generation=1785487777381869&alt=media,عروض,https://biddimarket.ps/orders/category/سوائل-واقراص-جلي/product/920040,
معطر غسيل ابريل ابيض 1 لتر,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/930063-c32e76e8-79dc-40d3-a8b9-a10cc645ffa7.png?generation=1785353328473212&alt=media,عروض,https://biddimarket.ps/orders/category/معطر-مطري-غسيل/product/930063,
معطر غسيل ابريل اخضر 1 لتر,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/930064-16599fce-c077-4d41-a4da-1c7be3859899.png?generation=1785353484199235&alt=media,عروض,https://biddimarket.ps/orders/category/معطر-مطري-غسيل/product/930064,
بندورة حب 1 كيلو,5.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480001-1480001-ai-optimized.png?generation=1768136444176946&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480001,
بندورة شيري بلحية 1 كيلو,15.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480002-1480002-ai-optimized.png?generation=1768136645623793&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480002,
